2022-05-07 11:02:49 | WARN  | Thread-26 | TID: N/A | com.alibaba.nacos.common.notify.NotifyCenter | [NotifyCenter] Start destroying Publisher
2022-05-07 11:02:49 | WARN  | Thread-6 | TID: N/A | com.alibaba.nacos.common.http.HttpClientBeanHolder | [HttpClientBeanHolder] Start destroying common HttpClient
2022-05-07 11:02:49 | WARN  | Thread-26 | TID: N/A | com.alibaba.nacos.common.notify.NotifyCenter | [NotifyCenter] Destruction of the end
2022-05-07 11:02:49 | WARN  | Thread-6 | TID: N/A | com.alibaba.nacos.common.http.HttpClientBeanHolder | [HttpClientBeanHolder] Destruction of the end
2022-05-07 11:02:49 | INFO  | SpringContextShutdownHook | TID: N/A | org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler | Shutting down ExecutorService 'Nacos-Watch-Task-Scheduler'
2022-05-07 11:02:49 | INFO  | SpringContextShutdownHook | TID: N/A | com.alibaba.cloud.nacos.registry.NacosServiceRegistry | De-registering from Nacos Server now...
2022-05-07 11:02:49 | INFO  | SpringContextShutdownHook | TID: N/A | com.alibaba.cloud.nacos.registry.NacosServiceRegistry | De-registration finished.
2022-05-07 11:02:55 | INFO  | SpringContextShutdownHook | TID: N/A | org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor | Shutting down ExecutorService 'applicationTaskExecutor'
2022-05-07 11:02:55 | WARN  | SpringContextShutdownHook | TID: N/A | org.springframework.beans.factory.support.DisposableBeanAdapter | Destroy method 'close' on bean with name 'nacosServiceRegistry' threw an exception: java.lang.NullPointerException
2022-05-07 11:02:55 | INFO  | SpringContextShutdownHook | TID: N/A | com.alibaba.druid.pool.DruidDataSource | {dataSource-1} closing ...
2022-05-07 11:02:55 | INFO  | SpringContextShutdownHook | TID: N/A | com.alibaba.druid.pool.DruidDataSource | {dataSource-1} closed
